2025-04-05 20:14:32,027 - __main__ - INFO - Getting services in namespace aegis-demo
2025-04-05 20:14:32,295 - __main__ - INFO - Found 5 services: backend-service, cache-service, database-service, frontend-service, queue-service
2025-04-05 20:14:32,295 - __main__ - INFO - Setting up port forwarding for backend-service from local port 8081 to service port 8080
2025-04-05 20:14:33,303 - __main__ - INFO - Setting up port forwarding for cache-service from local port 8082 to service port 6379
2025-04-05 20:14:34,321 - __main__ - INFO - Setting up port forwarding for database-service from local port 8083 to service port 27017
2025-04-05 20:14:35,339 - __main__ - INFO - Setting up port forwarding for frontend-service from local port 8084 to service port 80
2025-04-05 20:14:36,368 - __main__ - INFO - Setting up port forwarding for queue-service from local port 8085 to service port 5672
2025-04-05 20:14:37,378 - __main__ - INFO - Generating traffic to backend-service at http://localhost:8081
2025-04-05 20:14:37,379 - __main__ - INFO - Generating traffic to cache-service at http://localhost:8082
2025-04-05 20:14:37,379 - __main__ - INFO - Generating traffic to database-service at http://localhost:8083
2025-04-05 20:14:37,379 - __main__ - INFO - Generating traffic to frontend-service at http://localhost:8084
2025-04-05 20:14:37,380 - __main__ - INFO - Generating traffic to queue-service at http://localhost:8085
2025-04-05 20:14:37,380 - __main__ - INFO - Generating traffic for 300 seconds
2025-04-05 20:14:37,381 - __main__ - INFO - Press Ctrl+C to stop early
2025-04-05 20:14:37,425 - __main__ - INFO - Error sending request to queue-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:37,425 - __main__ - INFO - Error sending request to backend-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:37,531 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890d60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,532 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078911b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,636 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b0a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,638 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891690>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,741 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890070>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,742 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078906d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,847 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b3d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:37,847 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781afe0>: Failed to establish a new connection: [Errno 61] Connection refused'))
